Date,VaR 99%,VaR 95%,VaR 90%
2019-02-13,2.899639385204268,1.8008110000732032,1.2469187107565995
2019-02-14,2.7272361737122566,1.6824047253225574,1.1625399719380787
2019-02-15,2.594353536273839,1.5980420648700466,1.1033174477059453
2019-02-19,2.452351008448185,1.5075035507298098,1.0374486543090822
2019-02-20,2.3313405194750207,1.4302187045762775,0.9826314848317788
2019-02-21,2.267808564149851,1.389079579708266,0.9537191598103132
2019-02-22,2.2570929132056485,1.382329375353795,0.9486134299643008
2019-02-25,2.1637757727963542,1.3233454602327714,0.9060833683251709
2019-02-26,2.0708167351915714,1.2639822105070633,0.8640065693040698
2019-02-27,1.9973080061559478,1.2173376807574117,0.8306784357321386
2019-02-28,1.9595454779818038,1.192696428931843,0.8133480826610548
2019-03-01,1.9919679670674397,1.21323703131683,0.8275912264260903
2019-03-04,1.9241954506961592,1.169837612313812,0.7962778296379625
2019-03-05,1.861646673117454,1.1299602277282421,0.7629195790899693
2019-03-06,1.9385112708862007,1.1783270289329462,0.7958100575750359
2019-03-07,2.261043298126085,1.3805394045336845,0.94613694356706
2019-03-08,2.171643814781433,1.3249186849979555,0.9064513035291928
2019-03-11,2.838895927565488,1.7426051913097564,1.2020730993844444
2019-03-12,2.698768692578996,1.6539426057275703,1.1397569009841468
2019-03-13,2.6217796393137895,1.6067230283924765,1.106514258101341
2019-03-14,2.494976326991417,1.525596098808881,1.0492753569033992
2019-03-15,2.4780020423506897,1.5150735550226861,1.0415863394132776
2019-03-18,2.3530810607238672,1.4375980714189083,0.9870497066595976
2019-03-19,2.248883915869525,1.3700248810286189,0.938597550836921
2019-03-20,2.1695770152106615,1.3188871572205634,0.9007115211467499
2019-03-21,2.4894384387994895,1.518245116999306,1.0411878770319916
2019-03-22,3.285789364795475,2.0247101314848055,1.3980860518707094
2019-03-25,3.0690915110416084,1.8906659158748793,1.30290958118662
2019-03-26,2.894699408772969,1.7806977034262075,1.2252551427958114
2019-03-27,2.7987095073760804,1.7211041370089626,1.1873191858012029
2019-03-28,2.632247264520378,1.616872505390496,1.1118213286084733
2019-03-29,2.5723184573824964,1.5789768235986026,1.0852994476466429
2019-04-01,2.713802639598421,1.6673853248241786,1.1451433329612561
2019-04-02,2.5626643705397396,1.5718971509553674,1.0777882270111216
2019-04-03,2.4693336841364886,1.5349241133994365,1.0364359431983492
2019-04-04,2.3461080157562813,1.4565023533184265,0.9815612072875166
2019-04-05,2.2644031652593184,1.4042282993471629,0.9450643023604786
2019-04-08,2.1649733004920346,1.3194146925808985,0.89639740403784
2019-04-09,2.133689011577277,1.2998135629051992,0.8826293013461389
2019-04-10,2.092526292300001,1.2736489541890188,0.864321837538414
2019-04-11,2.0338896586884583,1.236347008436795,0.8381283798139458
2019-04-12,1.9831365910901253,1.2037286162973109,0.815197765119607
2019-04-15,1.9159604642383712,1.1598963830751159,0.7842876465570752
2019-04-16,1.8678675429110791,1.128019177912697,0.7618278518880388
2019-04-17,1.8274590782549796,1.1033149735707801,0.7445668772413887
2019-04-18,1.7777683301195908,1.0716003601592916,0.7210883748948821
2019-04-22,1.74420185235389,1.0457782626916725,0.7041702372438252
2019-04-23,2.0477459527650756,1.236668406617516,0.8373478505903212
2019-04-24,2.017028600490502,1.2179823626540824,0.8241058101246077
2019-04-25,1.9652309700945043,1.1849546691817792,0.8015389769652655
2019-04-26,1.8963189079881622,1.1418192909457108,0.7716996626976731
2019-04-29,1.836654985820338,1.1050426516917904,0.7458548279849277
2019-04-30,1.970167086921457,1.189298759703697,0.8045246896004288
2019-05-01,1.9607502139176283,1.1839457361003969,0.8006636844995438
2019-05-02,1.947385185808505,1.1760365854569068,0.7951291866770022
2019-05-03,2.3711703255316237,1.4398982223797283,0.9807275557633831
2019-05-06,2.375127226399366,1.4427200640147486,0.9827953774191854
2019-05-07,3.063287696138076,1.868670873216124,1.287380941565412
2019-05-08,2.8903932115025492,1.7601902553986573,1.2091962977593942
2019-05-09,2.762985077923952,1.6830755136454205,1.1545134043864245
2019-05-10,2.595239960522583,1.5794399199730607,1.0807033693038917
2019-05-13,4.361417882908946,2.663871556583099,1.849375600817965
